epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
190,0.6863,0.9844,0.7682,0.6485,1.2998,0.9184,0.0002198,59738,0.6549,1.2813,0.9133
191,0.6887,0.7625,0.6866,0.6491,1.3000,0.9175,0.0001623,60044,,,
192,0.6788,1.1432,0.8068,0.6473,1.3037,0.9174,0.0001623,60350,,,
193,0.6881,1.3337,0.9148,0.6483,1.3052,0.9180,0.0001623,60657,,,
194,0.6924,0.8507,0.6293,0.6467,1.3065,0.9180,0.0001623,60963,,,
195,0.6903,1.0277,0.8486,0.6469,1.3096,0.9186,0.0001623,61270,,,
196,0.6847,0.8168,0.7329,0.6465,1.3093,0.9188,0.0001623,61577,,,
197,0.6873,1.0504,0.7448,0.6489,1.3083,0.9187,0.0001623,61883,,,
198,0.6910,1.2065,0.8737,0.6473,1.3064,0.9177,0.0001623,62190,,,
199,0.6883,0.8805,0.6993,0.6485,1.3045,0.9167,0.0001623,62497,,,
200,0.6893,0.8379,0.7343,0.6467,1.3028,0.9159,0.0001623,62843,0.6581,1.2829,0.9088
201,0.5934,1.3653,1.0139,0.6483,1.3017,0.9179,0.0010000,63147,,,
202,0.5950,1.7452,1.0361,0.6475,1.2996,0.9187,0.0010000,63450,,,
203,0.5933,1.3174,1.0145,0.6477,1.2967,0.9200,0.0010000,63752,,,
204,0.5995,1.4859,0.9438,0.6461,1.2999,0.9232,0.0010000,64054,,,
205,0.5901,1.5519,1.0641,0.6443,1.3002,0.9273,0.0010000,64355,,,
206,0.5985,1.1584,0.8367,0.6415,1.3026,0.9296,0.0010000,64655,,,
207,0.5965,1.6832,1.1690,0.6417,1.3057,0.9348,0.0010000,64955,,,
208,0.5946,1.1944,0.8285,0.6401,1.3122,0.9416,0.0010000,65255,,,
209,0.5943,1.4897,1.1020,0.6395,1.3132,0.9460,0.0010000,65555,,,
210,0.6060,1.1620,0.9776,0.6387,1.3170,0.9533,0.0010000,65893,0.6521,1.2939,0.9408
211,0.5979,1.6583,1.1728,0.6387,1.3164,0.9543,0.0010000,66192,,,
212,0.5925,1.4684,0.9961,0.6373,1.3171,0.9547,0.0010000,66491,,,
