epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
114,0.8264,0.2627,0.2927,0.8843,0.3561,0.3718,0.0010000,35370,,,
115,0.8313,0.6226,0.5342,0.8829,0.3578,0.3726,0.0010000,35664,,,
116,0.8467,0.4685,0.3743,0.8836,0.3562,0.3709,0.0007386,35958,,,
117,0.8398,0.4402,0.4513,0.8850,0.3552,0.3700,0.0007386,36253,,,
118,0.8458,0.4954,0.5014,0.8836,0.3542,0.3684,0.0007386,36548,,,
119,0.8487,0.3026,0.3369,0.8845,0.3550,0.3687,0.0007386,36842,,,
120,0.8478,0.5043,0.4663,0.8836,0.3541,0.3679,0.0007386,37216,0.8779,0.3647,0.3804
121,0.8421,0.4065,0.4047,0.8844,0.3515,0.3654,0.0007386,37510,,,
122,0.8519,0.4038,0.4156,0.8871,0.3500,0.3631,0.0007386,37806,,,
123,0.8507,0.4707,0.4551,0.8850,0.3513,0.3632,0.0007386,38100,,,
124,0.8553,0.5851,0.4971,0.8850,0.3506,0.3616,0.0007386,38395,,,
125,0.8505,0.4561,0.3998,0.8865,0.3480,0.3587,0.0007386,38690,,,
126,0.8539,0.2944,0.3090,0.8854,0.3466,0.3580,0.0007386,38984,,,
127,0.8506,0.4079,0.4169,0.8863,0.3472,0.3566,0.0007386,39279,,,
128,0.8563,0.5223,0.3882,0.8869,0.3451,0.3552,0.0007386,39574,,,
129,0.8591,0.5486,0.4513,0.8861,0.3454,0.3551,0.0007386,39868,,,
130,0.8513,0.4155,0.4456,0.8860,0.3446,0.3531,0.0007386,40241,0.8800,0.3582,0.3656
131,0.8568,0.6994,0.5458,0.8853,0.3466,0.3537,0.0005455,40535,,,
132,0.8648,0.4228,0.3368,0.8862,0.3467,0.3523,0.0005455,40830,,,
133,0.8693,0.4289,0.4023,0.8893,0.3397,0.3484,0.0005455,41125,,,
134,0.8668,0.2801,0.3357,0.8887,0.3365,0.3467,0.0005455,41420,,,
135,0.8624,0.2935,0.2988,0.8889,0.3351,0.3452,0.0005455,41715,,,
136,0.8675,0.5195,0.3674,0.8883,0.3351,0.3447,0.0005455,42010,,,
137,0.8664,0.4406,0.3578,0.8909,0.3298,0.3413,0.0005455,42306,,,
138,0.8680,0.3410,0.3848,0.8910,0.3314,0.3416,0.0005455,42601,,,
139,0.8696,0.3372,0.3405,0.8933,0.3296,0.3399,0.0005455,42897,,,
140,0.8690,0.3912,0.3661,0.8924,0.3295,0.3390,0.0005455,43270,0.8881,0.3413,0.3502
141,0.8682,0.5198,0.3596,0.8933,0.3290,0.3381,0.0005455,43566,,,
142,0.8649,0.2355,0.3077,0.8929,0.3281,0.3379,0.0005455,43861,,,
143,0.8705,0.3123,0.2444,0.8927,0.3289,0.3375,0.0005455,44156,,,
144,0.8690,0.2978,0.3225,0.8930,0.3292,0.3368,0.0005455,44452,,,
145,0.8645,0.5247,0.5017,0.8919,0.3295,0.3366,0.0005455,44747,,,
146,0.8727,0.3325,0.3764,0.8912,0.3316,0.3375,0.0004029,45042,,,
147,0.8703,0.2767,0.3461,0.8918,0.3329,0.3390,0.0004029,45338,,,
148,0.8863,0.1864,0.2115,0.8922,0.3316,0.3374,0.0004029,45633,,,
149,0.8786,0.1751,0.1974,0.8917,0.3333,0.3376,0.0004029,45929,,,
150,0.8813,0.3040,0.3195,0.8925,0.3276,0.3332,0.0004029,46303,0.8897,0.3360,0.3439
151,0.8753,0.4164,0.3927,0.8938,0.3280,0.3329,0.0004029,46599,,,
152,0.8742,0.4456,0.3389,0.8931,0.3285,0.3323,0.0004029,46895,,,
153,0.8761,0.4280,0.3993,0.8932,0.3271,0.3313,0.0004029,47191,,,
154,0.8849,0.2219,0.2294,0.8952,0.3264,0.3303,0.0004029,47487,,,
155,0.8814,0.3336,0.2830,0.8937,0.3280,0.3305,0.0004029,47782,,,
156,0.8806,0.4426,0.3821,0.8939,0.3263,0.3289,0.0004029,48078,,,
157,0.8773,0.2122,0.2121,0.8928,0.3258,0.3280,0.0004029,48374,,,
158,0.8838,0.2697,0.2899,0.8942,0.3251,0.3276,0.0004029,48670,,,
159,0.8837,0.2243,0.2483,0.8942,0.3238,0.3271,0.0004029,48966,,,
160,0.8861,0.2950,0.3121,0.8931,0.3249,0.3275,0.0004029,49340,0.8926,0.3336,0.3374
161,0.8834,0.2396,0.2687,0.8933,0.3234,0.3273,0.0002976,49636,,,
162,0.8888,0.1708,0.2092,0.8943,0.3228,0.3268,0.0002976,49932,,,
163,0.8878,0.3118,0.3314,0.8952,0.3222,0.3271,0.0002976,50228,,,
164,0.8870,0.4266,0.3685,0.8950,0.3222,0.3279,0.0002976,50524,,,
165,0.8826,0.2003,0.2119,0.8964,0.3204,0.3269,0.0002976,50821,,,
166,0.8883,0.4231,0.4052,0.8963,0.3212,0.3276,0.0002976,51117,,,
167,0.8894,0.2986,0.3345,0.8958,0.3207,0.3268,0.0002976,51414,,,
168,0.8899,0.3156,0.3566,0.8954,0.3206,0.3263,0.0002976,51710,,,
169,0.8907,0.3075,0.3137,0.8965,0.3219,0.3261,0.0002976,52007,,,
170,0.8925,0.2618,0.2929,0.8961,0.3210,0.3256,0.0002976,52382,0.8923,0.3295,0.3346
171,0.8924,0.2332,0.2589,0.8962,0.3205,0.3244,0.0002976,52679,,,
172,0.8916,0.1752,0.1583,0.8970,0.3201,0.3239,0.0002976,52976,,,
173,0.8886,0.4583,0.3736,0.8963,0.3191,0.3225,0.0002976,53272,,,
174,0.8879,0.4203,0.3575,0.8968,0.3183,0.3220,0.0002976,53569,,,
175,0.8924,0.3570,0.3423,0.8964,0.3186,0.3218,0.0002976,53866,,,
176,0.8905,0.4947,0.4446,0.8965,0.3184,0.3216,0.0002198,54162,,,
177,0.8948,0.3437,0.3359,0.8958,0.3186,0.3216,0.0002198,54459,,,
178,0.8971,0.3011,0.2759,0.8955,0.3188,0.3222,0.0002198,54756,,,
179,0.8957,0.1833,0.1908,0.8966,0.3176,0.3215,0.0002198,55052,,,
180,0.8964,0.1418,0.1964,0.8964,0.3185,0.3221,0.0002198,55428,0.8961,0.3229,0.3297
181,0.8975,0.1930,0.2501,0.8966,0.3188,0.3215,0.0002198,55724,,,
182,0.9017,0.2948,0.2397,0.8966,0.3185,0.3210,0.0002198,56021,,,
183,0.8957,0.2507,0.3002,0.8957,0.3188,0.3209,0.0002198,56318,,,
184,0.8965,0.2798,0.2265,0.8954,0.3191,0.3200,0.0002198,56615,,,
185,0.8964,0.3547,0.3926,0.8964,0.3188,0.3197,0.0002198,56912,,,
186,0.8980,0.1764,0.1932,0.8974,0.3178,0.3183,0.0002198,57209,,,
187,0.8963,0.3209,0.2603,0.8971,0.3171,0.3177,0.0002198,57506,,,
188,0.8974,0.1932,0.2166,0.8975,0.3173,0.3169,0.0002198,57804,,,
189,0.8927,0.3523,0.3083,0.8981,0.3172,0.3170,0.0002198,58101,,,
190,0.8990,0.4948,0.3441,0.8978,0.3172,0.3167,0.0002198,58477,0.8960,0.3212,0.3232
191,0.8984,0.1956,0.2347,0.8977,0.3172,0.3170,0.0001623,58774,,,
192,0.9022,0.2908,0.2994,0.8983,0.3167,0.3163,0.0001623,59071,,,
193,0.8988,0.2818,0.2701,0.8986,0.3162,0.3161,0.0001623,59369,,,
194,0.8969,0.2766,0.2774,0.8990,0.3159,0.3161,0.0001623,59666,,,
195,0.8975,0.4778,0.3421,0.8984,0.3164,0.3165,0.0001623,59963,,,
196,0.9032,0.2228,0.2572,0.8981,0.3157,0.3163,0.0001623,60261,,,
197,0.8993,0.5699,0.3910,0.8981,0.3163,0.3162,0.0001623,60558,,,
198,0.9017,0.2894,0.2401,0.8984,0.3160,0.3159,0.0001623,60855,,,
199,0.9016,0.1379,0.1790,0.8990,0.3156,0.3152,0.0001623,61153,,,
200,0.9038,0.1882,0.2406,0.8993,0.3155,0.3145,0.0001623,61529,0.8966,0.3193,0.3203
201,0.8473,0.1932,0.2235,0.9002,0.3156,0.3138,0.0010000,61825,,,
